player,team,xG,goals,shots,xG_per_shot,finishing_diff,shots_per_match
Ahmad Nourollahi,Iran,0.099375992,0,5,0.0198751984,-0.099375992,0.5
Ahmed Elsayed Ali Elsayed Hegazy,Egypt,1.06955567,1,3,0.35651855666666665,-0.06955566999999996,0.3
Ahmed Fathy Abdel Meneim Ibrahim,Egypt,0.017610634,0,1,0.017610634,-0.017610634,0.1
Ahmed Jahouh,Mumbai City,1.716499992,3,23,0.07463043443478261,1.283500008,2.3
Ahmed Mohamed Abo El Fotouh Mohamed,Egypt,0.126194637,0,3,0.042064879,-0.126194637,0.3
Ahmed Musa,Nigeria,0.716044408,2,4,0.179011102,1.2839555919999999,0.4
Ahmed Sayed,Egypt,0.468278199,0,10,0.0468278199,-0.468278199,1.0
Aibanbha Kupar Dohling,Goa,1.574092455,1,12,0.13117437125,-0.574092455,1.2
Aileen Whelan,Brighton & Hove Albion WFC,9.787945284,10,91,0.10755983828571428,0.2120547160000008,9.1
Aileen Whelan,Leicester City WFC,2.964202778,1,25,0.11856811112000001,-1.9642027780000002,2.5
Aimee Palmer,Bristol City WFC,0.209777398,0,7,0.029968199714285715,-0.209777398,0.7
Aimee Palmer,Leicester City WFC,0.275852608,1,4,0.068963152,0.724147392,0.4
Ainhoa Alguacil Amores,Valencia CF,1.867924893,3,17,0.10987793488235295,1.132075107,1.7
Ainhoa Delgado,Costa Adeje Tenerife,0.79545913,1,6,0.13257652166666667,0.20454086999999999,0.6
Ainhoa Vicente Moraza,Atletico Madrid W,0.350737391,0,5,0.0701474782,-0.350737391,0.5
Ainoa Campo Franco,Villarreal,1.204716814,0,10,0.1204716814,-1.204716814,1.0
Airam López Cabrera,Goa,5.850429147,6,25,0.23401716588,0.14957085300000017,2.5
Aitana Bonmati Conca,Barcelona WFC,7.393490708,8,53,0.1394998246792453,0.6065092920000001,5.3
Aitana Bonmati Conca,Spain Women's,5.239043166,5,48,0.109146732625,-0.23904316600000008,4.8
Aitor Ocio Carrión,Athletic Club,0.016181275,0,1,0.016181275,-0.016181275,0.1
Aitor Ocio Carrión,Sevilla,0.10085992,0,1,0.10085992,-0.10085992,0.1
Aitor Ramos Leniz,Athletic Club,0.033331156,0,1,0.033331156,-0.033331156,0.1
Aitor Tornavaca Fernández,Recreativo Huelva,0.065725006,0,2,0.032862503,-0.065725006,0.2
Ajara Nchout,Cameroon W,0.618544714,2,5,0.1237089428,1.381455286,0.5
Ajara Nchout,FC Internazionale Milano W,0.850575774,0,6,0.141762629,-0.850575774,0.6
Ajay Chhetri,Bengaluru,0.014460521,0,1,0.014460521,-0.014460521,0.1
Ajdin Hrustic,Australia,0.039209995,0,1,0.039209995,-0.039209995,0.1
Akash Mishra,Hyderabad,0.849049142,2,10,0.0849049142,1.1509508579999999,1.0
Akash Mishra,SC Delhi,0.0320702715,0,2,0.01603513575,-0.0320702715,0.2
Akihiro Ienaga,Mallorca,0.09138448,0,1,0.09138448,-0.09138448,0.1
