team,xG_for,goals_for,shots,xG_per_shot,finishing_diff,attack_strength
Gambia,3.052672656,2,34,0.08978448988235294,-1.052672656,0.0900917269502164
Gazélec Ajaccio,34.820416312,34,429,0.08116647158974359,-0.820416311999999,1.0276344017783101
Genoa,44.0818528592,44,473,0.09319630625623679,-0.08185285919999785,1.3009617141375747
Georgia,4.575323888,4,30,0.15251079626666666,-0.5753238879999998,0.1350288343613671
German DR,1.7196356295,1,24,0.07165148456249999,-0.7196356294999999,0.0507505917092925
Germany,38.4337586985,27,336,0.11438618660267857,-11.4337586985,1.1342728436768776
Germany Women's,42.555026765,42,316,0.13466780621835445,-0.5550267650000009,1.255901396481579
Getafe,62.8061750308,51,632,0.09937685922594937,-11.806175030799999,1.853561586611969
Ghana,7.478833937,10,50,0.14957667874,2.521166063,0.22071841330052389
Gimnàstic Tarragona,0.82739151,1,11,0.07521741,0.17260849,0.02441831745481696
Girona,4.367928556,3,44,0.09927110354545454,-1.3679285559999999,0.12890809829601496
Goa,32.6733432265,26,312,0.10472225393108975,-6.673343226500002,0.9642691006279125
Granada,48.0378486555,55,508,0.09456269420374015,6.9621513445000005,1.4177126839462628
Granada W,39.409107516,33,341,0.11556923025219941,-6.409107515999999,1.1630577378497648
Guinea,5.895639746,4,43,0.13710790106976745,-1.8956397459999996,0.1739945372621293
Guinea-Bissau,1.5443405590000001,1,34,0.045421781147058825,-0.5443405590000001,0.04557721172170534
Guingamp,42.3630746895,46,397,0.10670799669899245,3.636925310499997,1.2502364281334388
Haiti Women's,1.9269264529999999,0,23,0.083779411,-1.9269264529999999,0.056868243476946516
Hamburger SV,36.832275082,37,375,0.09821940021866667,0.16772491799999756,1.0870092026148788
Hannover 96,33.316932084,30,379,0.08790747251715039,-3.316932084000001,0.9832629588472432
Hellas Verona,46.1569733749,34,469,0.09841572148166311,-12.156973374899998,1.362203521549118
Hertha Berlin,34.3240265475,41,330,0.1040122016590909,6.675973452500003,1.0129847435398749
Hoffenheim,43.099679694,42,400,0.10774919923500001,-1.0996796940000024,1.271975417017538
Hoffenheim W,35.1385914705,38,296,0.11871145767060812,2.8614085294999967,1.0370245175005393
Houston Dash,35.6948098343,23,344,0.1037639820764535,-12.694809834300003,1.0534398618898806
Huesca,3.860687141,3,19,0.20319406005263158,-0.8606871410000001,0.11393818169909392
Hungary,4.881497924,5,50,0.09762995847999999,0.1185020760000004,0.14406476803618876
Hyderabad,33.9313777145,47,297,0.11424706301178451,13.068622285499998,1.0013967302032898
Hércules,1.528171429,2,13,0.11755164838461538,0.4718285710000001,0.04510002172816987
Iceland,5.2942815835,2,36,0.14706337731944444,-3.2942815835,0.15624700862726285
Iceland Women's,10.1630761535,6,74,0.1373388669391892,-4.1630761535000005,0.29993687007211745
Ingolstadt,40.8524387165,33,425,0.09612338521529411,-7.8524387164999965,1.205653919971879
Inter Miami,7.422493739,9,70,0.10603562484285714,1.577506261,0.2190556782789484
Inter Milan,54.7311789066,51,552,0.099150686425,-3.7311789066000003,1.615248990429864
Iran,6.225883562,5,56,0.11117649217857142,-1.225883562,0.18374082815237322
Italy,24.653674896,23,207,0.11909987872463768,-1.6536748959999983,0.7275893609766185
Italy Women's,24.8596705285,20,218,0.11403518591055047,-4.859670528500001,0.7336687885364818
Jamaica,2.097483685,1,28,0.07491013160714285,-1.0974836849999998,0.06190179843231567
Jamaica Women's,5.00276905,2,66,0.07579953106060607,-3.0027690500000004,0.14764377122510366
Jamshedpur,36.3563258175,42,319,0.11396967340909091,5.6436741825,1.0729627927925836
Japan,13.64143745,12,92,0.14827649402173912,-1.6414374499999997,0.40259169470342854
Japan Women's,15.8599934645,17,137,0.11576637565328468,1.1400065354999995,0.4680666293608491
Juventus,66.458132938,75,657,0.10115393141248098,8.541867061999994,1.96133966558892
Juventus W,58.3993133285,65,504,0.11587165342956349,6.6006866715,1.723504477340644
KC Current,31.30066217,29,254,0.12323095342519684,-2.300662169999999,0.923757974520478
Kerala Blasters,31.0201409517,37,298,0.1040944327238255,5.9798590483,0.9154791173186905
Korea Republic Women's,6.325085232,2,71,0.08908570749295774,-4.325085232,0.18666850850784122
Köln,28.7049762265,25,258,0.11125959777713179,-3.7049762265000012,0.847153026783718
LAFC,1.858197127,1,22,0.08446350577272727,-0.858197127,0.05483987543057437
Las Palmas,43.6978252687,45,478,0.09141804449518828,1.3021747312999992,1.2896281344441627
Lazio,53.4466774415,52,520,0.10278207200288461,-1.4466774415000003,1.5773402565754528
Leeds United,0.8145782994999999,1,16,0.050911143718749996,0.18542170050000006,0.024040168733416137
Leganés,7.575029325,7,85,0.08911799205882354,-0.575029325,0.22355737102910064
Leicester City,67.534306366,69,533,0.12670601569606002,1.4656936340000044,1.9931001370026795
Leicester City WFC,32.9336004555,26,269,0.12242974147026021,-6.933600455499999,0.9719499186697038
Lens,3.811786281,3,40,0.09529465702499999,-0.8117862809999998,0.11249499947053375
Levante UD,55.506028801,49,607,0.09144321054530477,-6.506028800999999,1.6381166781842265
Levante UD Femenino,51.0403312645,57,368,0.13869655234918477,5.959668735500003,1.5063231816526375
Lille,49.215953192,44,542,0.09080434168265683,-5.215953192000001,1.4524813880235103
Liverpool,70.631504547,75,725,0.0974227648924138,4.368495452999994,2.0845059195011486
Liverpool WFC,67.048952762,58,600,0.11174825460333333,-9.048952761999999,1.9787761824574952
Lorient,47.1287172257,51,463,0.10178988601663067,3.871282774299999,1.3908820244668005
Lyon,63.6468688365,68,594,0.10714961083585858,4.353131163500002,1.878372486871123
Madrid CFF,53.95948273,60,459,0.11755878590413943,6.040517270000002,1.5924743764881673
Mali,5.9672266295,5,64,0.0932379160859375,-0.9672266294999998,0.176107238716975
Mallorca,9.6459736113,10,106,0.09099975105000001,0.3540263886999995,0.2846759278464322
Manchester City,68.461352476,72,641,0.10680398202184088,3.538647523999998,2.0204595018688156
Manchester City WFC,201.695477936,212,1518,0.13286922130171278,10.304522063999997,5.952519635404862
Manchester United,92.2961667885,81,810,0.11394588492407408,-11.296166788500003,2.723882313590971
Manchester United W,70.214922206,73,576,0.12190090660763889,2.785077794000003,2.0722115706642734
Marseille,11.858540146,10,137,0.08655868719708029,-1.8585401459999993,0.34997409852044464
Mauritania,3.9767191814,3,51,0.07797488590980392,-0.9767191814,0.1173625668458757
Metz,0.560064001,0,4,0.14001600025,-0.560064001,0.016528838411011642
Mexico,15.217223232,6,170,0.08951307783529412,-9.217223232,0.449096930738136
Middlesbrough,1.367086013,1,15,0.09113906753333333,-0.367086013,0.040346002889821805
Mohun Bagan Super Giant,17.10435849,18,170,0.10061387347058823,0.8956415100000008,0.5047908401547577
Montpellier,40.7265912834,49,416,0.09790045981586538,8.273408716600002,1.201939858931647
Morocco,21.480921579,16,163,0.13178479496319018,-5.480921579,0.6339537643286308
Morocco Women's,2.895696582,2,25,0.11582786328,-0.8956965819999998,0.08545898469770907
Mozambique,2.313110307,4,28,0.08261108239285715,1.686889693,0.06826545970278945
Mumbai City,30.5872128725,35,290,0.1054731478362069,4.4127871275,0.9027023663546763
Málaga,53.3295718745,46,557,0.09574429420915619,-7.329571874499997,1.5738841890715303
NJ/NY Gotham FC,48.2618783475,37,420,0.11490923416071429,-11.261878347500001,1.424324340063644
NY Cosmos,2.075976289,2,26,0.07984524188461539,-0.0759762890000002,0.061267063344020586
Namibia,3.8186313335,1,34,0.11231268627941177,-2.8186313335,0.11269701346622957
