player,team,xG,goals,shots,xG_diff
Alberto Bueno Calvo,Rayo Vallecano,1.4184257740000001,1,9,-0.41842577400000014
Alberto De La Bella Madureño,Real Sociedad,1.151704171,1,7,-0.151704171
Alberto Facundo Costa,Fiorentina,0.056980178,0,2,-0.056980178
Alberto Facundo Costa,Genoa,0.7137920885,0,17,-0.7137920885
Alberto Facundo Costa,Valencia,0.23555458099999999,0,5,-0.23555458099999999
Alberto Gallardo,Peru,0.231321336,1,6,0.7686786640000001
Alberto Gilardino,Palermo,7.528761883,10,49,2.4712381170000004
Alberto Grassi,Atalanta,1.088010675,0,16,-1.088010675
Alberto Junior Rodríguez Valdelomar,Peru,0.06343268299999999,0,2,-0.06343268299999999
Alberto Lopo García,RC Deportivo La Coruña,0.396536897,0,5,-0.396536897
Alberto Lora Ramos,Sporting Gijón,0.237853877,0,6,-0.237853877
Alberto Mateus Contreiras Gonçalves,Rayo Vallecano,4.517399608,4,28,-0.5173996079999998
Alberto Mateus Contreiras Gonçalves,Real Valladolid,0.178352632,0,2,-0.178352632
Alberto Moreno Pérez,Liverpool,2.2181667935,1,34,-1.2181667935
Alberto Moreno Pérez,Sevilla,0.083990356,1,2,0.916009644
Alberto Moreno Pérez,Villarreal,0.2049631,0,1,-0.2049631
Alberto Noguera Ripoll,Goa,2.134691641,3,22,0.8653083590000001
Alberto Paloschi,Chievo,8.773427468,8,41,-0.7734274679999995
Alberto Paloschi,Swansea City,2.737612402,2,15,-0.7376124019999999
Alberto Perea Correoso,Cádiz,0.238537614,0,2,-0.238537614
Alberto Perea Correoso,Rayo Vallecano,0.34405279,0,2,-0.34405279
Alberto Rivera Pizarro,Real Betis,0.110756563,0,3,-0.110756563
Alberto Rivera Pizarro,Sporting Gijón,0.021877512,0,1,-0.021877512
Alberto Zapater Arjol,Real Zaragoza,0.395790326,1,2,0.604209674
Albin Ekdal,Hamburger SV,0.199647669,0,6,-0.199647669
Albin Ekdal,Sweden,0.4564142,0,5,-0.4564142
Aldana Cometti,Madrid CFF,1.71398596,4,20,2.28601404
Aldo Kalulu Kyatengwa,Lyon,0.9491283079999999,2,5,1.050871692
Aldo Pedro Duscher,Racing Santander,0.027940795,0,2,-0.027940795
Aldo Serena,Juventus,0.043766152,0,1,-0.043766152
Aldrith Ivana Quintero Humphries,Panama Women's,0.042960305,0,1,-0.042960305
Aleandro Rosi,Frosinone,0.974025941,0,15,-0.974025941
Aleix García Serrano,Girona,0.103889465,0,3,-0.103889465
Aleix Vidal Parreu,Almería,0.141607254,0,3,-0.141607254
Aleix Vidal Parreu,Barcelona,1.99615919,3,18,1.00384081
Aleix Vidal Parreu,Deportivo Alavés,0.015026416,0,1,-0.015026416
Alejandra Bernabe De Santiago,Real Sociedad de Fútbol,0.781438937,1,9,0.218561063
Alejandro Alfaro Ligero,Mallorca,0.39765513,0,1,-0.39765513
Alejandro Alfaro Ligero,Tenerife,0.799572557,0,6,-0.799572557
Alejandro Arribas Garrido,RC Deportivo La Coruña,1.246195509,2,13,0.7538044909999999
Alejandro Balde Martínez,Spain,0.20344019,0,1,-0.20344019
Alejandro Barrera García,Sporting Gijón,0.112140857,0,2,-0.112140857
Alejandro Bedoya,Nantes,4.685467386,3,46,-1.685467386
Alejandro Berenguer Remiro,Athletic Club,0.091559429,0,2,-0.091559429
Alejandro Bergantiños García,RC Deportivo La Coruña,1.6589901390000001,4,19,2.341009861
Alejandro Bergantiños García,Xerez,0.052630918,0,2,-0.052630918
Alejandro Castro Fernández,Deportivo Alavés,0.098917514,0,1,-0.098917514
Alejandro Damián Domínguez,Rayo Vallecano,0.114241341,0,4,-0.114241341
Alejandro Darío Gómez,Argentina,0.037321252,0,2,-0.037321252
Alejandro Darío Gómez,Atalanta,7.058803376,7,87,-0.058803376000000185
Alejandro Fernández Iglesias,Cádiz,0.7143013,1,1,0.28569869999999997
Alejandro Fernández Iglesias,Espanyol,0.11693335,0,1,-0.11693335
Alejandro Gallar Falguera,Huesca,0.4586762,1,1,0.5413238
Alejandro Garnacho Ferreyra,Argentina,0.193781364,0,2,-0.193781364
Alejandro Granell Nogué,Girona,0.060636990999999994,0,4,-0.060636990999999994
Alejandro Grimaldo García,Bayer Leverkusen,6.124947123,10,71,3.875052877
Alejandro Gálvez Jimena,Las Palmas,0.041992698,0,1,-0.041992698
Alejandro Gálvez Jimena,Rayo Vallecano,0.079205055,0,2,-0.079205055
Alejandro Gálvez Jimena,Werder Bremen,0.208014689,1,5,0.791985311
Alejandro Jesús Bran Flores,Costa Rica,0.027340762,0,1,-0.027340762
Alejandro López Sánchez,Celta Vigo,0.302908009,0,4,-0.302908009
Alejandro Marañón Pérez,Real Murcia CF,0.02700462,0,1,-0.02700462
Alejandro Menéndez Díez,Sporting Gijón,1.401989854,2,18,0.598010146
Alejandro Moreno Lopera,Real Betis,0.07721096999999999,0,2,-0.07721096999999999
Alejandro Pozo Pozo,Mallorca,0.022541363,0,1,-0.022541363
Alejandro Pozuelo Melero,Real Betis,0.03857799,0,1,-0.03857799
Aleksandar Dragović,Austria,0.09287781,0,1,-0.09287781
Aleksandar Ignjovski,Eintracht Frankfurt,0.7440385030000001,0,9,-0.7440385030000001
Aleksandar Katai,Deportivo Alavés,0.20530176,0,1,-0.20530176
Aleksandar Kolarov,Manchester City,3.3597412555,3,41,-0.3597412554999999
Aleksandar Kolarov,Serbia,0.0498030075,1,2,0.9501969925
Aleksandar Mitrović,Newcastle United,11.101336855,9,80,-2.1013368549999996
Aleksandar Mitrović,Serbia,5.261508529,3,36,-2.2615085290000003
Aleksandar Pantić,Eibar,0.798220127,0,10,-0.798220127
Aleksandar Pešić,Toulouse,1.742379672,2,15,0.257620328
Aleksandar Tonev,Frosinone,0.972069906,0,32,-0.972069906
Aleksandar Trajkovski,North Macedonia,0.16933595099999998,0,6,-0.16933595099999998
Aleksandar Trajkovski,Palermo,2.8223357965,3,39,0.1776642035
Aleksandr Erokhin,Russia,0.41438267,0,3,-0.41438267
Aleksandr Golovin,AS Monaco,0.133150189,0,3,-0.133150189
Aleksandr Golovin,Russia,1.337506844,2,9,0.662493156
Aleksandr Polukarov,Soviet Union U20,0.0490424455,0,2,-0.0490424455
Aleksandr Samedov,Russia,0.158425576,0,2,-0.158425576
Aleksandra Zaremba,Costa Adeje Tenerife,0.393300256,0,5,-0.393300256
Aleksey Miranchuk,Russia,0.190008424,1,2,0.809991576
Alen Halilović,Las Palmas,0.179464117,0,3,-0.179464117
Alen Halilović,Sporting Gijón,4.54843305,3,59,-1.5484330499999999
