team,xG,goals,shots,xG_diff
Slovenia,5.3031329199999995,2,40,-3.3031329199999995
South Africa,19.300423509999998,17,91,-2.300423509999998
South Africa Women's,6.488200136,6,66,-0.4882001359999997
South Korea,7.779757174,8,82,0.22024282599999978
Southampton,58.334749398999996,57,545,-1.3347493989999961
Soviet Union U20,0.4375957205,1,11,0.5624042794999999
Spain,54.982034117,47,377,-7.982034116999998
Spain Women's,55.20291913,46,463,-9.202919129999998
Sporting Gijón,44.0313178921,43,413,-1.0313178920999988
Stade Brestois,1.544448572,1,13,-0.5444485720000001
Stade Malherbe Caen,32.886726549,30,375,-2.8867265490000023
Stade de Reims,45.2103587745,44,475,-1.2103587745000013
Stoke City,39.33127163,40,425,0.6687283699999966
Strasbourg,3.254987093,3,31,-0.254987093
Sunderland,45.389592816,44,451,-1.3895928159999968
Swansea City,42.3610426835,41,448,-1.3610426835000027
Sweden,14.882487751,12,113,-2.8824877509999993
Sweden Women's,59.0099951765,51,357,-8.009995176499999
Switzerland,32.9551589465,35,231,2.044841053500001
Switzerland Women's,11.021816978,10,108,-1.0218169780000004
TSV Bayer 04 Leverkusen,26.700958128,34,256,7.299041872
Tanzania,0.64797449,1,12,0.35202551000000004
Tenerife,1.667175273,1,17,-0.667175273
Thailand W,0.766495921,1,13,0.23350407900000003
Torino,50.9523931805,49,478,-1.9523931805000032
Toronto FC,0.942207845,0,8,-0.942207845
Tottenham Hotspur,65.9920694365,71,693,5.007930563499997
Tottenham Hotspur Women,73.3119233575,61,687,-12.311923357500007
Toulouse,52.0003960435,44,463,-8.000396043499997
Troyes,36.121793083,30,458,-6.121793083
Tunisia,10.5308207745,7,95,-3.5308207745000004
Turkey,10.506677627,9,113,-1.5066776270000002
Udinese,47.964202147099996,34,454,-13.964202147099996
Ukraine,9.4079553895,8,91,-1.4079553894999997
Union Berlin,0.5673936645,0,11,-0.5673936645
United States,8.452179419,6,80,-2.452179419
United States Women's,35.173536284,33,223,-2.1735362840000008
Uruguay,26.977803941,28,208,1.0221960589999988
Utah Royals,9.353037092,10,87,0.6469629080000008
Valencia,76.8490001175,72,659,-4.8490001174999975
Valencia CF,37.9008863175,35,388,-2.900886317500003
Venezuela,10.134966182,10,62,-0.13496618199999943
VfB Stuttgart,58.024048802,52,532,-6.024048802000003
VfL Wolfsburg WFC,56.5510093325,66,430,9.448990667499999
Vietnam Women's,0.5463978549999999,0,10,-0.5463978549999999
Villarreal,78.389338343,93,773,14.610661656999994
WNT Finland,3.73356174,4,50,0.26643826000000015
Wales,6.798000053,4,63,-2.798000053
Wales W,2.5161453799999998,2,17,-0.5161453799999998
Washington Spirit,45.539174085,28,394,-17.539174085
Watford,44.4081113255,36,450,-8.408111325500002
Werder Bremen,51.959255352,49,460,-2.9592553519999996
West Bromwich Albion,43.0791425385,32,396,-11.079142538500001
West Ham United,56.2388844358,64,559,7.761115564199997
West Ham United LFC,98.1821031265,82,815,-16.182103126499996
Wolfsburg,50.652705691,47,515,-3.6527056910000013
Wolverhampton Wanderers,1.257564796,1,20,-0.25756479600000004
Xerez,1.126552331,1,15,-0.12655233100000007
Yeovil Town LFC,12.6859905565,10,129,-2.6859905565
Zambia,1.72074448,2,25,0.27925552
Zambia W,2.728249466,3,25,0.27175053400000015
